Time;User Path;Parent;Element;Elements/s;Average duration;Minimum duration;Maximum duration;Average TTFB;Minimum TTFB;Maximum TTFB;Errors;Errors/s;Median duration;UserLoad
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T04_CheckIMEI";1.0;0.332;0.296;0.376;0.018;0.006;0.036;0.0;0.0;0.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T10_keepurnumber";0.6;0.29;0.283;0.297;0.289;0.283;0.297;0.0;0.0;0.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T03_Bringyourown";1.0;0.309;0.236;0.47;0.012;0.006;0.027;0.0;0.0;0.0;200.0
10;"PROD_M_BYOD_01072020";"Actions";"Visible_M_BYOD_T09_keepurnumber";0.4;0.878;0.838;0.918;0.03;0.03;0.031;0.0;0.0;0.0;200.0
10;"PROD_Device_Flow_02052020";"Actions";"Visible_Device_T01_HomePage";1.0;0.358;0.327;0.398;0.012;0.006;0.023;0.0;0.0;0.0;200.0
10;"PROD_M_Device_02062020";"Actions";"Visible_M_Device_T02_ShopService";1.0;0.273;0.268;0.278;0.013;0.011;0.018;0.0;0.0;0.0;200.0
10;"PROD_Device_Flow_02052020";"Actions";"Visible_Device_T08_AddressNext";1.0;0.121;0.09;0.148;0.094;0.073;0.114;0.0;0.0;0.0;200.0
10;"PROD_M_BYOD_01072020";"Actions";"Visible_M_BYOD_T06_CreateAccount";1.2;4.54;3.905;4.969;0.03;0.029;0.031;0.0;0.0;4.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T07_CreateAccount";1.0;8.464;7.333;9.676;0.002;0.002;0.003;0.0;0.0;8.0;200.0
10;"PROD_M_BYOD_01072020";"Actions";"Visible_M_BYOD_T05_Summary_CT";1.2;0.126;0.125;0.128;0.031;0.03;0.031;0.0;0.0;0.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T09_Address_verification";0.4;1.547;1.426;1.668;1.466;1.346;1.587;0.0;0.0;1.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_Homepage_Ex";0.8;0.004;0.003;0.006;0.002;0.001;0.004;0.0;0.0;0.0;200.0
10;-;-;"<all transactions>";42.6;1.336;0.002;12.044;0.279;0.001;6.53;0.0;0.0;1.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T12_Onyourway";0.4;0.274;0.247;0.301;0.018;0.008;0.028;0.0;0.0;0.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T13_Signout";0.8;1.02;0.99;1.049;0.022;0.007;0.029;0.0;0.0;1.0;200.0
10;"PROD_M_Device_02062020";"Actions";"Visible_M_Device_T01_Launch";0.6;0.069;0.062;0.076;0.039;0.034;0.046;0.0;0.0;0.0;200.0
10;"PROD_M_Device_02062020";"Actions";"Visible_M_Device_T05_Protect";1.2;0.292;0.252;0.337;0.292;0.252;0.337;0.0;0.0;0.0;200.0
10;"PROD_Device_Flow_02052020";"Actions";"Visible_Device_T03_SelectPhone";1.6;0.502;0.394;0.647;0.017;0.006;0.036;0.0;0.0;0.0;200.0
10;"PROD_M_Device_02062020";"Actions";"Visible_M_Device_T13_Onyourway";0.6;0.237;0.213;0.262;0.07;0.056;0.094;0.0;0.0;0.0;200.0
10;"PROD_Device_Flow_02052020";"Actions";"Visible_Device_Homepage_Ex";0.8;0.004;0.002;0.004;0.002;0.001;0.003;0.0;0.0;0.0;200.0
10;"PROD_M_BYOD_01072020";"Actions";"Visible_M_BYOD_T04_IMEI_AfterComptibilty";0.8;0.315;0.279;0.407;0.192;0.15;0.285;0.0;0.0;0.0;200.0
10;"PROD_Device_Flow_02052020";"Actions";"Visible_Device_T06_Addtobag_Continue";1.0;0.01;0.008;0.012;0.007;0.006;0.008;0.0;0.0;0.0;200.0
10;"PROD_M_Device_02062020";"Actions";"Visible_M_Device_T11_keepurnumber";0.6;0.734;0.649;0.779;0.734;0.649;0.779;0.0;0.0;0.0;200.0
10;"PROD_BYOD_02052020";"Actions";"Visible_BYOD_T05_Compatible_CT";1.2;0.133;0.121;0.157;0.012;0.011;0.015;0.0;0.0;0.0;200.0
10;"PROD_M_Device_02062020";"Actions";"Visible_M_Device_T08_Createacct";0.6;3.506;3.342;3.733;0.173;0.114;0.21;0.0;0.0;3.0;200.0
10;"PROD_M_BYOD_01072020";"Actions";"Visible_M_BYOD_T10_AccountDetails";0.4;2.615;2.595;2.635;0.029;0.029;0.03;0.0;0.0;2.0;200.0
10;"PROD_Device_Flow_02052020";"Actions";"Visible_Device_T02_ShopPage";0.8;1.041;0.898;1.309;0.007;0.006;0.008;0.0;0.0;1.0;200.0
